age,industry,job title,annual salary,bonus,country,years of experience,field years of experience,highest level of education,gender
4,Engineering or Manufacturing,Distribution Manager,65000.0,0.0,USA,4,4,3.0,Woman
2,Insurance,Quality Review and Audit Sr. Analyst,54000.0,1800.0,USA,3,3,3.0,Man
2,Education (Higher Education),Assistant Professor,89000.0,0.0,USA,2,2,6.0,Woman
3,Law,Associate Attorney,112000.0,0.0,USA,4,4,5.0,Woman
4,Engineering or Manufacturing,Tech Writer,75000.0,0.0,USA,4,4,3.0,Woman
4,Computing or Tech,IT billing analyst,40000.0,0.0,USA,4,4,2.0,Woman
2,Computing or Tech,cloud operations engineer,74000.0,0.0,USA,3,2,2.0,Woman
2,Law,Associate,165000.0,20000.0,USA,1,1,5.0,Woman
2,Recruitment or HR,HRM,57700.0,3000.0,USA,2,1,4.0,Woman
2,Education (Higher Education),Campus Career Center Manager,52798.0,0.0,USA,4,3,4.0,Woman
1,"Accounting, Banking & Finance",Associate,47450.0,0.0,CAN,0,0,3.0,Woman
6,Computing or Tech,Operations Data Analyst,120000.0,0.0,USA,6,3,3.0,Woman
6,Law,Paralegal,52000.0,6000.0,USA,7,6,3.0,Woman
3,Art & Design,Media Designer,78000.0,0.0,USA,4,4,3.0,Man
2,Wholesale Trade,Sales Support,50000.0,0.0,USA,3,2,4.0,Woman
2,Nonprofits,Librarian,48850.0,0.0,USA,2,2,4.0,Woman
2,Nonprofits,Director of Development ,75100.0,0.0,USA,3,3,3.0,Man
3,Government and Public Administration,Library Director ,86000.0,0.0,USA,5,5,4.0,Woman
2,Education (Higher Education),Undergraduate and graduate assistant,43800.0,0.0,CAN,2,2,3.0,Woman
2,Property or Construction,Landscape lighting installer/general laborer,35880.0,600.0,USA,3,1,3.0,Woman
3,Media & Digital,Senior Producer,98500.0,0.0,USA,4,3,3.0,Woman
4,Computing or Tech,Accountant ,78800.0,10000.0,USA,4,3,3.0,Woman
4,"Accounting, Banking & Finance",Financial Planner,180000.0,25000.0,USA,5,3,3.0,Woman
2,Law,Patent assistant,80000.0,1500.0,USA,3,3,3.0,Woman
3,Government and Public Administration,Program Research Specialist,92000.0,0.0,USA,5,4,4.0,Woman
2,"Marketing, Advertising & PR",Marketing Manager ,40000.0,0.0,USA,2,2,3.0,Woman
3,Nonprofits,Development director,45000.0,2000.0,USA,4,3,3.0,Woman
3,Education (Higher Education),Assistant Professor ,115000.0,0.0,USA,3,2,6.0,Woman
3,Computing or Tech,Analyst/Technical Account Manager,80000.0,5000.0,USA,4,2,3.0,Woman
2,Health care,Medical Transcriptionist,35100.0,0.0,NZL,2,2,3.0,Prefer not to answer
2,Computing or Tech,Vice President Infrastructure,125000.0,0.0,USA,2,2,4.0,Woman
2,Education (Primary/Secondary),Kindergarten Assistant,28000.0,0.0,USA,4,4,3.0,Woman
1,Law Enforcement & Security,Prison Officer,31000.0,0.0,GBR,1,1,4.0,Woman
3,Property or Construction,Asset manager,56940.0,0.0,CAN,4,1,2.0,Man
3,Nonprofits,Assistant Director,66000.0,0.0,USA,4,4,4.0,Woman
1,Health care,IRB Analyst II,62000.0,0.0,USA,1,1,3.0,Woman
4,Science publishing,Scientific Editor,103000.0,0.0,USA,4,4,6.0,Woman
2,Nonprofits,Communications Director,48000.0,0.0,USA,3,2,3.0,Woman
5,Insurance,Executive Assistant,74000.0,1500.0,USA,6,4,3.0,Woman
2,Engineering or Manufacturing,Office Manager ,60000.0,0.0,USA,4,3,4.0,Woman
2,Retail,Produce Manager,52000.0,0.0,USA,4,4,3.0,Man
4,Law,Legal Assistant,65000.0,3000.0,USA,5,4,4.0,Woman
3,Nonprofits,Ceo ,120450.0,8760.0,CAN,4,1,5.0,Woman
2,Media & Digital,Writer,48150.0,2675.0,DEU,4,1,2.0,Woman
2,Architecture,"Senior Associate, registered architect",62400.0,0.0,AUS,4,4,4.0,Woman
3,Education (Higher Education),Head of Access and Widening Participation ,74400.0,0.0,GBR,4,4,4.0,Woman
2,Engineering or Manufacturing,Manufacturing Engineer,110000.0,0.0,USA,2,1,3.0,Man
3,Archives,Archivist ,49999.28,0.0,GBR,2,2,6.0,Woman
3,Government and Public Administration,Deputy Executive Director,136000.0,0.0,USA,4,4,4.0,Woman
2,Nonprofits,Associate Editor,46500.0,0.0,USA,3,3,4.0,Woman
2,Law,inhouse legal counsel,74750.0,0.0,NZL,2,2,3.0,Woman
3,Computing or Tech,Chief Marketing Officer,96300.0,0.0,BEL,4,4,4.0,Woman
3,Health care,Clinical Counselor,55000.0,0.0,USA,4,3,4.0,Woman
4,Engineering or Manufacturing,Director of Administrative Services,120000.0,0.0,USA,5,5,3.0,Woman
2,Nonprofits,Programs coordinator,25680.0,6420.0,BEL,2,1,4.0,Woman
3,Engineering or Manufacturing,Quality Assurance Specialist,41912.0,200.0,USA,2,2,3.0,Woman
4,"Accounting, Banking & Finance",Project Manager,82500.0,5000.0,USA,5,4,3.0,Woman
2,Computing or Tech,Software Engineer,160000.0,140000.0,USA,2,2,4.0,Man
2,"Accounting, Banking & Finance",Accountant,74000.0,3000.0,USA,1,1,3.0,Woman
2,Computing or Tech,Business Operations Manager,70000.0,0.0,USA,4,2,4.0,Woman
2,"Marketing, Advertising & PR",Senior Marketing Manager,65000.0,600.0,USA,3,2,4.0,Woman
3,Government and Public Administration,Adult Services Librarian,30000.0,0.0,USA,4,2,6.0,Woman
3,Retail,Customer advisor,24800.0,930.0,GBR,3,1,1.0,Man
2,Law Enforcement & Security,Dispatcher,70000.0,0.0,USA,2,1,3.0,Woman
2,Education (Higher Education),Graduate Student Instructor (as a PhD candidate),34140.0,0.0,USA,2,1,6.0,Woman
4,Engineering or Manufacturing,Controls Engineer,103000.0,5000.0,USA,5,5,3.0,Man
2,Health care,Chiropractic Assistant,29120.0,0.0,USA,3,1,2.0,Woman
2,Entertainment,Theatre director,74400.0,0.0,GBR,1,1,3.0,Prefer not to answer
2,Nonprofits,Development Coordinator ,41600.0,0.0,USA,1,0,3.0,Prefer not to answer
4,Government and Public Administration,Director Agriculture Programs,167000.0,0.0,USA,4,4,4.0,Woman
5,Engineering or Manufacturing,Lead Test Engineer,138100.0,4500.0,USA,6,6,3.0,Man
2,Recruitment or HR,Recruiting Manager,155000.0,0.0,USA,3,3,3.0,Woman
3,Health care,Director of Strategy,168900.0,16896.0,USA,4,3,4.0,Woman
3,Education (Higher Education),Laboratory Supervisor,67000.0,0.0,USA,3,3,4.0,Woman
2,Computing or Tech,ux research,170000.0,75000.0,USA,1,1,6.0,Woman
2,Social Work,School-Based Intervention Counselor,33280.0,500.0,USA,3,1,4.0,Woman
3,Government and Public Administration,Children's Librarian,77000.0,0.0,USA,3,3,4.0,Woman
2,Education (Higher Education),Project analyst,32500.0,0.0,NZL,1,0,6.0,Woman
3,Education (Primary/Secondary),Special Education Teacher ,51041.6,0.0,CAN,3,4,3.0,Prefer not to answer
2,Business or Consulting,Online Sales Associate,39500.0,200.0,USA,1,1,3.0,Woman
2,Media & Digital,Reporter,50000.0,0.0,USA,3,2,3.0,Woman
3,Law,Director of Operations,96000.0,0.0,USA,5,4,2.0,Woman
4,Education (Higher Education),Lecturer,75779.6,0.0,AUS,5,4,4.0,Woman
3,Nonprofits,IT Specialist,72000.0,350.0,USA,5,2,4.0,Woman
2,Education (Higher Education),"Director, GEAR UP Program",73000.0,0.0,USA,4,4,4.0,Woman
2,Nonprofits,Database Manager,40000.0,0.0,USA,1,1,3.0,Prefer not to answer
3,Government and Public Administration,Geologist,83496.0,0.0,USA,4,3,3.0,Woman
3,Social Work,Clinical Supervisor (LCSW),51000.0,0.0,USA,3,3,4.0,Woman
2,Computing or Tech,Executive Assistant,52000.0,0.0,USA,3,2,3.0,Woman
3,Law,Attorney,85000.0,0.0,USA,4,2,5.0,Woman
2,Media & Digital,Associate Director Paid Search,105000.0,0.0,USA,2,2,4.0,Woman
2,Government and Public Administration,Safety Coordinator,45000.0,0.0,USA,3,2,3.0,Woman
3,Government and Public Administration,Deputy Courtroom Clerk,80000.0,0.0,USA,4,1,3.0,Woman
2,Nonprofits,Corporate & Foundation Relations Manager,41000.0,0.0,USA,3,2,3.0,Woman
3,Government and Public Administration,Special Project Coordinator,75000.0,0.0,USA,5,5,3.0,Woman
3,Utilities & Telecommunications,Technician ,175000.0,15000.0,USA,5,4,1.0,Man
5,Health care,Pathology Admin Coordinator,56000.0,2500.0,USA,5,4,2.0,Woman
2,Nonprofits,Grant Manager,75000.0,0.0,USA,2,1,3.0,Woman
4,Media & Digital,Editor at news outlet,80000.0,0.0,USA,5,4,3.0,Woman
4,Property or Construction,Project Coordinator,31200.0,0.0,USA,5,4,1.0,Woman
4,Government and Public Administration,Administrative Specialist,32676.0,0.0,USA,6,3,2.0,Woman
2,Nonprofits,Project Manager,58000.0,0.0,USA,3,2,4.0,Woman
4,Publishing,Business Process Manager,60000.0,0.0,USA,5,2,4.0,Woman
2,Nonprofits,Community Engagement Associate,49500.0,100.0,USA,2,1,3.0,Woman
2,Biotech,Technical writer II,94000.0,2000.0,USA,2,2,1.0,Woman
3,Theatre,Box Office Supervisor,24800.0,0.0,GBR,4,3,3.0,Woman
2,Government and Public Administration,Project Officer,72150.0,0.0,AUS,3,1,5.0,Woman
2,Art & Design,Exhibitions Manager,52650.0,0.0,NZL,3,2,3.0,Woman
2,Social Work,Mental Health Professional,87000.0,0.0,USA,3,3,4.0,Woman
3,Insurance,Risk modeler,165000.0,25000.0,USA,3,3,6.0,Woman
5,Education (Higher Education),Math Instructor (Tenured),150000.0,0.0,USA,6,6,4.0,Woman
2,"Accounting, Banking & Finance",Compliance and Risk Officer,98000.0,19600.0,USA,2,2,3.0,Woman
3,"Accounting, Banking & Finance",Client Advisor ,88000.0,10000.0,USA,4,4,3.0,Woman
2,Education (Higher Education),Assistant Professor,47500.0,0.0,USA,2,2,6.0,Woman
2,Government and Public Administration,Economic Self Sufficiency Specialist ,27012.0,0.0,USA,1,1,3.0,Woman
2,Engineering or Manufacturing,Senior project engineer,78000.0,3000.0,USA,1,1,4.0,Man
2,Education (Primary/Secondary),"Library Media Specialist, K-12",74155.0,0.0,USA,4,1,4.0,Woman
3,medical research ,senior research assistant ,44850.0,0.0,AUS,4,4,3.0,Woman
3,Architecture,Project Administrator,58400.0,0.0,CAN,4,3,3.0,Woman
3,Government and Public Administration,"Manager, Airport Parking",115000.0,0.0,USA,4,2,4.0,Man
3,Property or Construction,Office Manager,52000.0,5000.0,USA,4,2,1.0,Woman
4,Computing or Tech,Lead Support Specialist,65700.0,0.0,CAN,5,4,3.0,Woman
2,Science,Lab Technician,42250.0,0.0,NZL,1,1,4.0,Woman
2,"Marketing, Advertising & PR",Senior Strategist,100000.0,10000.0,USA,2,1,3.0,Woman
3,Computing or Tech,Organizational Development Specialist 4,93000.0,5000.0,USA,4,3,4.0,Woman
3,Education (Higher Education),Instructional Designer,60000.0,0.0,USA,4,2,4.0,Woman
3,Agriculture or Forestry,International Logistics Manager,101000.0,15000.0,USA,5,4,3.0,Woman
2,"Marketing, Advertising & PR",Senior Specialist,68000.0,0.0,USA,3,3,4.0,Woman
3,restoration,independent consulting botanist,184000.0,0.0,USA,4,4,3.0,Woman
2,Hospitality & Events,Bakery assistant,20800.0,0.0,AUS,3,3,1.0,Man
1,Retail,Assistant Manager,20649.72,0.0,GBR,1,0,2.0,Man
3,Education (Higher Education),Academic Advisor,51000.0,0.0,USA,4,2,4.0,Woman
3,Engineering or Manufacturing,Production Coordinator III,106000.0,3500.0,USA,4,4,4.0,Woman
2,Business or Consulting,Senior Financial Analyst,83400.0,8300.0,USA,2,2,3.0,Man
2,Government and Public Administration,Director of Policy,107000.0,0.0,USA,3,2,4.0,Woman
3,Education (Higher Education),program administrator,100000.0,0.0,USA,5,4,6.0,Woman
3,"Accounting, Banking & Finance",Supervisor - Financial and Business Services,116300.0,17445.0,USA,4,2,4.0,Woman
1,Retail,Colleague ,21427.2,0.0,GBR,1,1,3.0,Woman
2,Government and Public Administration,Passport Officer,45260.0,0.0,CAN,1,2,3.0,Woman
2,Art & Design,Senior Art Director,90000.0,0.0,USA,3,3,3.0,Woman
3,Computing or Tech,Engineering Lead,145000.0,65000.0,USA,5,5,2.0,Man
2,Nonprofits,Campaign Manager,68000.0,0.0,USA,1,1,5.0,Prefer not to answer
2,Engineering or Manufacturing,Quality Control Supervisor,60000.0,1000.0,USA,4,3,3.0,Woman
4,Social Work,Trafficking Victim Case Manager,24000.0,0.0,USA,4,3,4.0,Woman
2,Law,Attorney ,113000.0,0.0,USA,3,2,5.0,Woman
3,Health care,Organizational Development Consultant,99000.0,0.0,USA,4,3,4.0,Woman
3,Nonprofits,Events & Development Director,45000.0,1000.0,USA,4,2,4.0,Woman
3,Government and Public Administration,Pension Advisory Officer,52560.0,4380.0,CAN,5,4,3.0,Woman
1,"Accounting, Banking & Finance",Financial Analyst,50500.0,5000.0,USA,0,0,3.0,Woman
3,Media & Digital,Director of Product,90000.0,0.0,USA,4,4,3.0,Woman
4,Property or Construction,Senior Property Manager,138000.0,5000.0,USA,6,5,2.0,Woman
2,Business or Consulting,Technical consultant (data science/AI),90000.0,5000.0,USA,1,1,3.0,Woman
2,Biomedical Research,"Research Scientist, Senior-level",82000.0,16000.0,USA,3,2,4.0,Woman
4,IT MSP,Office manager,60000.0,0.0,USA,5,4,2.0,Woman
2,Computing or Tech,Senior Digital Strategist,92000.0,7000.0,USA,3,3,4.0,Woman
3,Retail,Crew,50000.0,0.0,USA,5,4,2.0,Prefer not to answer
2,Computing or Tech,Software engineer ,89776.0,38750.0,GBR,4,4,4.0,Man
2,Business or Consulting,Sourcing Category Manager,60000.0,0.0,USA,3,0,3.0,Woman
3,"Accounting, Banking & Finance",Manager - Technical Accounting,150000.0,0.0,USA,2,2,5.0,Woman
3,"Accounting, Banking & Finance",Loan Servicing Specialist,41200.0,4000.0,USA,3,3,2.0,Woman
1,Health care,Administrative assistant (part time),10950.0,0.0,CAN,1,1,3.0,Woman
2,Transport or Logistics,Analytics Manager,62000.0,2480.0,GBR,3,2,3.0,Woman
3,Computing or Tech,Systems Administrator,60000.0,0.0,USA,5,3,3.0,Man
3,"Accounting, Banking & Finance",Sr Finance Analyst,90000.0,16000.0,USA,4,1,4.0,Woman
4,public libraries,director/librarian,33000.0,0.0,USA,5,4,4.0,Woman
2,"Marketing, Advertising & PR",Senior Research Executive,34968.0,0.0,GBR,1,1,3.0,Woman
2,Education (Higher Education),Career Coach,49050.0,0.0,USA,2,2,4.0,Woman
3,Government and Public Administration,Rental Assistance Specialist,43944.0,4000.0,USA,2,2,3.0,Woman
2,Social Work,Quality Management Specialist,45000.0,0.0,USA,3,3,3.0,Woman
2,"Accounting, Banking & Finance",Revenue auditor,58000.0,0.0,USA,1,1,3.0,Woman
3,Public library,Library director,97232.0,0.0,USA,5,4,4.0,Woman
2,Scientific Research,Research Scientist,92000.0,0.0,USA,2,2,4.0,Woman
2,Engineering or Manufacturing,Reservoir Engineer,80300.0,0.0,CAN,3,3,3.0,Woman
2,Education (Primary/Secondary),Teacher,42000.0,500.0,USA,3,3,4.0,Woman
3,Utilities & Telecommunications,Senior software engineer and market analysr,124800.0,9750.0,AUS,4,2,4.0,Woman
3,Nonprofits,Director of Programs,71000.0,0.0,USA,4,1,6.0,Woman
4,Retail,Technical specialist ,30000.0,200.0,USA,5,2,3.0,Woman
2,Health care,Registrar/Clerical Tech Assistant,31200.0,0.0,USA,3,0,3.0,Woman
3,Government and Public Administration,School District Accountant,75000.0,0.0,USA,4,4,4.0,Woman
4,Education (Higher Education),professor,90000.0,1200.0,USA,5,4,6.0,Woman
2,Not for profit education consultancy,Research officer,45508.0,0.0,GBR,1,0,4.0,Woman
4,Education (Higher Education),Librarian,80000.0,12000.0,USA,5,5,4.0,Woman
1,Education (Primary/Secondary),Middle School Teacher,40000.0,0.0,USA,0,0,3.0,Woman
3,Education (Higher Education),Director of Library Public Services,64000.0,0.0,USA,3,3,4.0,Woman
3,Nonprofits,Development Officer,80500.0,2000.0,USA,2,1,6.0,Woman
4,Insurance,Manager,64970.0,6570.0,CAN,5,3,2.0,Woman
4,Computing or Tech,Risk Manager,141000.0,15000.0,USA,4,2,4.0,Prefer not to answer
3,Nonprofits,Deputy Director,135000.0,0.0,USA,4,4,3.0,Woman
2,"Marketing, Advertising & PR",Account Lead,62780.0,0.0,CAN,3,3,2.0,Woman
3,Recruitment or HR,"HR Manager, Employee Relations",100500.0,2500.0,USA,4,4,3.0,Woman
3,Law,Research Analyst,88600.0,6600.0,USA,4,3,4.0,Woman
2,Education (Primary/Secondary),Middle school librarian ,62000.0,1500.0,USA,4,3,4.0,Woman
2,Environmental Consulting,Proposal/Project Coordinator,68000.0,0.0,USA,4,3,3.0,Woman
2,Business or Consulting,Associate Consultant,104000.0,10000.0,USA,3,1,3.0,Woman
2,Art & Design,Copy Centre Manager,44200.0,0.0,NZL,2,1,4.0,Woman
2,Media & Digital,Strategy Director,92000.0,0.0,USA,2,2,5.0,Prefer not to answer
2,Retail,Deliworker ,32200.0,1380.0,SWE,3,1,1.0,Woman
2,Government and Public Administration,Program Analyst,59000.0,2400.0,USA,2,1,4.0,Woman
2,Government and Public Administration,Digital operations officer,60798.4,0.0,AUS,1,0,4.0,Woman
2,Libraries,Reference and Communications Librarian,61767.0,0.0,USA,2,2,4.0,Woman
3,Computing or Tech,Director of Engineering,135000.0,0.0,USA,4,3,3.0,Woman
3,Utilities & Telecommunications,Senior business systems analyst,62050.0,7300.0,CAN,4,4,3.0,Woman
5,Computing or Tech,Operations Admin,61000.0,0.0,USA,4,4,3.0,Woman
2,Education (Higher Education),Assistant professor,115000.0,0.0,USA,2,1,6.0,Woman
4,Entertainment,Producer,78000.0,0.0,USA,5,5,3.0,Woman
3,Nonprofits,Director of Donor Relations,80000.0,0.0,USA,4,2,4.0,Woman
3,Nonprofits,Librarian,38000.0,250.0,USA,2,2,4.0,Woman
5,Insurance,Claims adjuster ,92000.0,3000.0,USA,6,6,3.0,Man
2,Health care,Lab Supervisor,96000.0,40000.0,USA,3,3,4.0,Woman
5,Professional regulation,"Policy Officer, Standards & Ethics",68200.0,0.0,GBR,6,4,3.0,Woman
4,Business or Consulting,Personal Executive Assistant ,55.0,0.0,USA,5,4,3.0,Woman
2,Engineering or Manufacturing,Quality Engineer,75000.0,0.0,USA,1,1,3.0,Woman
2,Engineering or Manufacturing,Superintendent ,77000.0,20000.0,USA,1,1,3.0,Woman
4,Government and Public Administration,Fiscal & budget manager,120660.0,0.0,USA,5,4,4.0,Woman
3,Nonprofits,Executive Assistant,54000.0,0.0,USA,4,1,3.0,Woman
3,Government and Public Administration,Engineer,110824.0,0.0,USA,4,4,3.0,Man
1,Education (Higher Education),Admissions Advisor,51500.0,1000.0,USA,0,0,3.0,Prefer not to answer
2,Biotech,"Senior Manager, Strategy & Operations",130000.0,30000.0,USA,4,1,4.0,Woman
2,Nonprofits,Program Associate,67000.0,0.0,USA,3,2,4.0,Woman
2,Nonprofits,Program Director for Strategic Engagement,72500.0,0.0,USA,4,3,3.0,Woman
5,Computing or Tech,Senior Project Manager ,120000.0,0.0,USA,6,6,2.0,Woman
3,Insurance,Technical Underwriter,111800.0,16250.0,AUS,4,4,2.0,Woman
2,Insurance,Auto Damage Adjuster,55000.0,10000.0,USA,2,2,3.0,Woman
5,Health care,Hospice Nurse,126200.0,0.0,USA,6,6,2.0,Woman
2,Retail,Manager,55250.0,1300.0,AUS,4,4,1.0,Woman
3,Retail,Pharmacy clerk,26600.0,0.0,USA,4,0,2.0,Woman
3,Government and Public Administration,Analyst,153000.0,20000.0,USA,4,4,4.0,Woman
3,Computing or Tech,Clinical analyst ,68000.0,0.0,USA,5,2,3.0,Woman
2,Engineering or Manufacturing,Aerospace Engineer,110000.0,0.0,USA,1,1,4.0,Woman
2,Education (Higher Education),Lab Manager,68000.0,0.0,USA,1,1,3.0,Woman
5,"Accounting, Banking & Finance",Sr. Business Process Manager,148000.0,50000.0,USA,6,6,4.0,Woman
5,Social Work,Professional advisor and development,45500.0,0.0,NZL,6,5,4.0,Woman
2,Computing or Tech,Customer Experience Specialist,71500.0,10725.0,AUS,2,2,3.0,Woman
1,Computing or Tech,Software Engineer 2,113000.0,10000.0,USA,1,1,3.0,Woman
4,Nonprofits,CEO,143000.0,0.0,USA,4,4,5.0,Woman
2,Media & Digital,Features Editor,64000.0,500.0,USA,2,1,3.0,Prefer not to answer
3,Utilities & Telecommunications,Director,81250.0,0.0,AUS,4,1,4.0,Woman
3,Government and Public Administration,Assistant Director,70200.0,0.0,AUS,4,4,4.0,Woman
5,Engineering or Manufacturing,Principal Mechanical Engineer,140000.0,0.0,USA,6,6,4.0,Woman
2,Government and Public Administration,Youth Services Librarian ,62000.0,0.0,USA,3,2,4.0,Woman
4,Education (Primary/Secondary),Research Analyst 3,75000.0,0.0,USA,5,5,4.0,Woman
4,Biotech,Senior Scientist & Program Manager,165000.0,5000.0,USA,1,1,6.0,Man
4,Computing or Tech,Associate Network Engineer,78078.0,1300.0,USA,5,1,3.0,Man
3,Nonprofits,Program director ,73000.0,0.0,USA,5,4,3.0,Woman
2,Social Work,Licensed  independent clinical social worker (LICSW),72000.0,0.0,USA,3,2,5.0,Prefer not to answer
4,Education (Higher Education),Executive assistant ,98000.0,0.0,USA,5,4,4.0,Woman
2,Retail,QA Manager,70000.0,5000.0,USA,3,0,3.0,Woman
3,Nonprofits,director level,80000.0,0.0,USA,4,2,6.0,Woman
2,Computing or Tech,Development Engineer,86580.00000000001,9990.0,CHE,2,0,3.0,Woman
2,manufacturing,office manager,70000.0,0.0,USA,4,1,2.0,Woman
2,Computing or Tech,Senior Security Engineer,180000.0,0.0,USA,3,3,3.0,Man
2,Art & Design,Digital Content Producer,37700.0,3770.0,AUS,2,2,4.0,Woman
3,Media & Digital,Technical Support Associate,59000.0,2000.0,USA,2,2,4.0,Man
3,Transport or Logistics,Administrative Assistant,43000.0,0.0,USA,4,1,3.0,Woman
3,Biotechnology,Software Product Manager,107000.0,3000.0,USA,2,1,6.0,Woman
4,Hospitality & Events,Hospitality & Membership Director,55000.0,0.0,USA,5,4,3.0,Woman
2,Government and Public Administration,Senior management analyst,59000.0,0.0,USA,2,1,4.0,Prefer not to answer
2,Health care,Pediatric/Nicu Nurse,27820.0,0.0,DEU,4,1,2.0,Woman
5,Education (Higher Education),Academic Success Coach,53000.0,0.0,USA,6,1,3.0,Woman
4,Education (Higher Education),Librarian,64500.0,0.0,USA,5,4,4.0,Woman
2,Engineering or Manufacturing,Staff Engineer,90500.0,24500.0,USA,3,3,3.0,Woman
3,Engineering or Manufacturing,Engineering manager/Project manager,146000.0,10000.0,USA,4,4,3.0,Woman
2,Education (Higher Education),Senior Research Associate,52000.0,0.0,GBR,1,1,6.0,Woman
2,Media & Digital,Archivist,34100.0,0.0,GBR,2,1,4.0,Woman
3,"Accounting, Banking & Finance",FP&A Manager,130000.0,15000.0,USA,4,3,3.0,Woman
4,Entertainment,Sr. Operations Manager,70000.0,0.0,USA,5,5,3.0,Woman
2,Health care,Director of Customer Success,117500.0,15000.0,USA,3,2,4.0,Woman
3,"Marketing, Advertising & PR",Community Development Officer,72000.0,1500.0,USA,2,1,3.0,Woman
2,Nonprofits,Program and Policy Coordinator,48000.0,0.0,USA,1,1,3.0,Woman
3,Government and Public Administration,Librarian,69000.0,0.0,USA,1,1,4.0,Man
3,Education (Higher Education),Research Associate II,51000.0,0.0,USA,4,3,3.0,Woman
3,Education (Primary/Secondary),Assistant Principal,48000.0,0.0,USA,4,4,3.0,Woman
3,Computing or Tech,Office administrator ,37700.0,2600.0,AUS,4,2,2.0,Woman
2,Education (Higher Education),Program Manager,124000.0,0.0,USA,4,2,4.0,Woman
3,Law,Attorney editor,61500.0,1000.0,USA,4,2,5.0,Woman
3,Education (Primary/Secondary),PreK teacher,62000.0,0.0,USA,4,4,4.0,Woman
4,Scientific analysis,Analytical Investigator,70000.0,0.0,USA,4,3,4.0,Woman
4,Health care,Registered Dietitian,65000.0,0.0,USA,4,3,3.0,Woman
3,Computing or Tech,Project Manager,79999.0,5000.0,USA,4,1,4.0,Woman
3,Recruitment or HR,Benefits Manager,100000.0,10000.0,USA,4,3,3.0,Woman
3,Nonprofits,CEO,90000.0,0.0,USA,3,3,5.0,Woman
2,Nonprofits,Advocacy and Policy Officer,74481.0,0.0,CHE,3,3,4.0,Woman
3,"Accounting, Banking & Finance",Communications Manager,81000.0,2000.0,USA,3,2,4.0,Woman
2,Education (Higher Education),Business Analyst,80000.0,0.0,USA,4,4,3.0,Woman
3,Low-Voltage Equipment,Technician,45000.0,0.0,USA,4,4,3.0,Man
2,Nonprofits,Event Coordinator,38690.0,0.0,CAN,2,2,3.0,Woman
2,Science,Structural Biology Lead,185000.0,40000.0,USA,2,2,6.0,Man
3,Education (Higher Education),Assistant professor,71540.0,3650.0,CAN,2,2,6.0,Woman
4,Public library,"Manager, Programming & Community Engagement",63510.0,0.0,CAN,5,3,4.0,Prefer not to answer
5,Engineering or Manufacturing,aerospace engineer,108870.0,0.0,USA,5,5,4.0,Woman
3,Media & Digital,Executive Producer - Events and Content,76000.0,0.0,USA,4,4,3.0,Woman
2,Social Work,Youth Specialist,28000.0,0.0,USA,3,1,3.0,Woman
2,Government and Public Administration,Assistant Planner,63000.0,0.0,USA,2,2,4.0,Woman
2,Education (Higher Education),Assistant Professor,80000.0,0.0,USA,2,2,6.0,Woman
3,Education (Primary/Secondary),occupational therapist,61567.0,0.0,USA,5,5,4.0,Woman
1,Hospitality & Events,Server,13600.0,0.0,USA,1,1,2.0,Woman
2,Education (Primary/Secondary),Teacher ,46000.0,2000.0,USA,3,3,4.0,Woman
2,Health care,Fellow physician,78000.0,0.0,USA,2,2,5.0,Woman
3,Health care,Clinical psychologist,93000.0,0.0,USA,4,4,5.0,Woman
2,Social Work,Memory Loss Program Coordinator,40000.0,0.0,USA,2,2,3.0,Woman
3,"Marketing, Advertising & PR",Director of Data Science,130000.0,2500.0,USA,4,2,4.0,Woman
3,Education (Higher Education),Department Administrator (Office Manager),51800.0,0.0,USA,4,4,4.0,Woman
2,Engineering or Manufacturing,Senior Analyst,70200.0,0.0,AUS,2,1,3.0,Woman
2,Health care,Medical biller,35000.0,0.0,USA,3,3,3.0,Woman
2,Computing or Tech,Staff Technical Writer,142000.0,33000.0,USA,3,3,3.0,Woman
3,Public Libraries,Library Director,62000.0,0.0,USA,3,3,4.0,Woman
2,Law,Post-Bar Law Clerk,48800.0,0.0,USA,3,1,5.0,Woman
2,Health care,Research and Development Scientist,57234.92,0.0,CAN,1,1,6.0,Woman
2,Education (Primary/Secondary),Teacher,47000.0,2640.0,USA,2,2,3.0,Woman
3,"Accounting, Banking & Finance",Accountant ,81000.0,3000.0,USA,3,1,3.0,Woman
4,Architecture and engineering consulting and design ,Technical editor,101000.0,0.0,USA,5,5,4.0,Woman
2,Nonprofits,Senior Regional Director ,68500.0,500.0,USA,2,2,4.0,Woman
3,Education (Primary/Secondary),Information Systems Analyst,65000.0,0.0,USA,3,1,3.0,Woman
3,Nonprofits,Senior director ,155000.0,10000.0,USA,4,4,4.0,Woman
3,Education (Higher Education),Associate Director,84500.0,0.0,AUS,4,3,4.0,Woman
2,Education (Higher Education),Graduate Assistant,13400.0,14100.0,USA,1,1,3.0,Man
2,Education (Higher Education),Librarian ,40920.0,0.0,GBR,3,3,4.0,Woman
2,Media & Digital,Organized Play Associate,40200.0,0.0,USA,1,0,3.0,Man
2,Computing or Tech,Software engineering manager,85560.0,12400.0,GBR,2,2,4.0,Woman
3,Education (Higher Education),Program Manager,53000.0,1000.0,USA,4,4,4.0,Woman
2,"Accounting, Banking & Finance",Controller,120000.0,7500.0,USA,4,3,3.0,Woman
